Date,Open,High,Low,Close,Adj Close,Volume
28-Dec-18,30.69,31.16,30.55,30.71,27.99,"29,622,000"
27-Dec-18,29.92,30.54,29.48,30.53,27.82,"29,644,500"
26-Dec-18,28.81,30.14,28.77,30.14,27.47,"30,084,900"
24-Dec-18,28.85,29.19,28.59,28.61,26.07,"18,330,900"
21-Dec-18,28.96,29.82,28.93,29.04,26.47,"44,764,500"
20-Dec-18,30.04,30.04,28.71,29.09,26.51,"49,121,400"
19-Dec-18,30.43,31,30.08,30.18,27.51,"36,694,500"
18-Dec-18,30.27,30.42,30.09,30.36,27.67,"28,820,100"
17-Dec-18,30.41,30.67,30.05,30.26,27.57,"27,005,400"
14-Dec-18,30.68,30.85,30.52,30.62,27.9,"34,480,800"
13-Dec-18,31.08,31.23,30.81,30.99,28.24,"24,126,900"
12-Dec-18,31.43,31.43,31.02,31.04,28.29,"28,917,600"
11-Dec-18,31.42,31.5,31.08,31.28,28.51,"19,357,500"
10-Dec-18,31.19,31.42,30.78,31.31,28.54,"21,830,700"
7-Dec-18,31.5,31.71,30.82,31.06,28.31,"25,489,500"
6-Dec-18,31.65,31.8,31.03,31.59,28.79,"31,101,600"
4-Dec-18,32.75,32.99,31.87,31.94,28.95,"31,278,900"
3-Dec-18,32.67,33.2,32.56,32.92,29.84,"27,246,300"
30-Nov-18,32.47,32.81,32.36,32.55,29.5,"31,992,000"
29-Nov-18,32.34,32.61,32.25,32.43,29.39,"18,723,900"
28-Nov-18,31.82,32.54,31.68,32.49,29.45,"30,212,400"
27-Nov-18,31.66,31.85,31.47,31.68,28.72,"27,126,900"
26-Nov-18,31.9,32.02,31.58,31.72,28.75,"30,103,800"
23-Nov-18,31.38,31.85,31.38,31.7,28.73,"14,670,000"
21-Nov-18,31.45,31.64,31.1,31.39,28.45,"28,052,700"
20-Nov-18,31.66,31.73,31.2,31.39,28.45,"37,861,800"
19-Nov-18,32.65,32.75,32.14,32.26,29.24,"27,643,200"
16-Nov-18,32.94,33.14,32.31,32.56,29.52,"42,705,600"
15-Nov-18,34.11,34.27,32.87,33.18,30.07,"48,247,800"
14-Nov-18,34.33,34.38,33.67,33.84,30.68,"31,445,700"
13-Nov-18,34.56,34.72,34.18,34.31,31.1,"23,870,100"
12-Nov-18,35.17,35.4,34.55,34.62,31.38,"26,829,300"
9-Nov-18,35,35.3,34.94,35.19,31.89,"25,351,200"
8-Nov-18,34.78,35.09,34.68,34.96,31.69,"17,884,200"
7-Nov-18,34.55,34.82,34.35,34.77,31.52,"26,017,800"
6-Nov-18,34.18,34.48,34.02,34.44,31.22,"19,106,100"
5-Nov-18,33.73,34.39,33.54,34.3,31.09,"22,850,400"
2-Nov-18,33.63,33.86,33.44,33.78,30.62,"21,909,600"
1-Nov-18,33.32,33.72,33.24,33.53,30.39,"23,205,300"
31-Oct-18,34.16,34.16,33.37,33.43,30.3,"37,064,700"
30-Oct-18,33.4,34.2,33.35,34.14,30.94,"38,125,500"
